Order,MAE,MSE,RMSE,MAPE
"(0, 1, 0)",87.42693894909274,14270.805669236568,119.46047743599792,0.024059081475557707
"(0, 1, 1)",88.8715838633426,14530.840461898284,120.54393581552863,0.02446516579478032
"(1, 1, 0)",88.96243793192458,14553.50631913131,120.63791410303524,0.024490846192345886
"(4, 1, 5)",89.88559421239569,14580.349910272183,120.74911970806323,0.02473431848577483
"(1, 1, 1)",89.0297770686358,14581.28153647878,120.75297734001751,0.024510904809618168
"(0, 1, 5)",89.56987728905683,14618.599699526256,120.90740134303712,0.024645164510861586
"(2, 1, 0)",89.13618759656532,14623.312657914315,120.92688972232071,0.024541288678954058
"(0, 1, 2)",89.3153755858292,14663.334829914247,121.09225751431941,0.024589836784604285
"(2, 1, 2)",88.27239000286134,14710.28616802365,121.28596855375996,0.02426060688342105
"(2, 1, 3)",88.4485544049154,14768.76812613963,121.52682060409394,0.024309674874780415
"(2, 1, 1)",89.83440521821917,14794.049209709452,121.63079054955391,0.024728054560513867
"(4, 1, 6)",90.95029743235986,14811.4300147181,121.7022186105007,0.024971329462051866
"(5, 1, 0)",90.5593974504036,14814.983880202393,121.71681839500404,0.024915155925562902
"(1, 1, 2)",90.00782315894888,14844.603993541372,121.83843397525007,0.024774232352945066
"(0, 1, 4)",89.90752123417609,14861.141630581487,121.90628216208337,0.02473967412568129
"(4, 1, 0)",90.11340476015938,14883.309840451735,121.99717144447135,0.024795745649150814
"(0, 1, 3)",89.99685312528003,14897.593574803224,122.05569865763427,0.024766731795112604
"(3, 1, 2)",89.31498294120111,14899.164969764179,122.06213569229476,0.024569846815154176
"(3, 1, 0)",90.05813550744914,14908.18167302441,122.09906499651997,0.024782903257144922
"(3, 1, 1)",90.11741840110504,14919.638492358941,122.14597206768195,0.024797988089912643
"(7, 1, 4)",91.37988335023006,14934.781924688667,122.20794542372712,0.025085070403938883
"(3, 1, 3)",89.90986695500823,14943.526143204921,122.24371617062744,0.024702494110605183
"(1, 1, 3)",90.27628991574319,14954.381184146736,122.28810728826714,0.024849430813371362
"(5, 1, 3)",91.77596772487516,14962.166289000834,122.31993414403408,0.02527553275732645
"(5, 1, 7)",90.54791454303225,14975.10694900518,122.37281948621262,0.02485657693061268
"(1, 1, 4)",91.64701880168626,15019.956835413477,122.55593349737693,0.025204677743307084
"(3, 1, 7)",91.55614050289776,15036.79521393694,122.62461096344788,0.025141030850419924
"(1, 1, 5)",92.05994833917677,15080.892007672934,122.80428334416082,0.025326506664406345
"(4, 1, 1)",91.83430003564854,15100.325036965232,122.88337982398284,0.025255744080337702
"(4, 1, 7)",91.21785659458439,15103.956292791876,122.89815414721197,0.025037015126276953
"(2, 1, 5)",92.21857585301112,15113.976659250771,122.9389143406219,0.025397831339214392
"(5, 1, 6)",92.47267980618942,15125.75406033491,122.98680441549374,0.0254107335989615
"(2, 1, 4)",92.13315879971056,15140.548356017618,123.04693558158048,0.025365893998281788
"(4, 1, 2)",92.32159061361477,15172.116829582466,123.17514696391666,0.025413871583165413
"(5, 1, 1)",92.22761640109672,15175.576367181104,123.18918932755871,0.025370634297858546
"(3, 1, 6)",92.86800068256385,15181.541775196842,123.21339933301427,0.025500905046841132
"(5, 1, 2)",92.35226715071796,15211.381109025724,123.33442791461646,0.025428913544391276
"(4, 1, 4)",90.61363156120282,15226.0906115903,123.39404609457581,0.024932001406668628
"(6, 1, 5)",93.14233291662286,15248.456090819625,123.48463908851022,0.02558201531437294
"(4, 1, 3)",93.63333820638601,15259.692381249492,123.53012742343259,0.025741643004979976
"(0, 1, 6)",93.90812015231798,15389.717424164059,124.05529986326283,0.025858389439290773
"(7, 1, 5)",93.21488549805596,15402.240087589726,124.1057617018232,0.025609788545567645
"(6, 1, 0)",93.64696757424161,15427.927020890043,124.20920666717925,0.025777866117819848
"(6, 1, 1)",93.73717586807817,15479.335453247413,124.4159774837919,0.02580045801961772
"(3, 1, 4)",94.42525092307352,15518.511859576978,124.57331921232965,0.02597908439151269
"(7, 1, 0)",93.79142651516933,15542.193488419047,124.66833394418587,0.025812906123797524
"(1, 1, 6)",94.36168211046838,15568.452100071832,124.77360337856655,0.025979839480111375
"(5, 1, 5)",93.08762106103883,15590.059302036861,124.86015898611079,0.0255380670969485
"(5, 1, 4)",94.56210723441316,15640.389921884855,125.06154453661946,0.026022820426386633
"(3, 1, 5)",95.06469515545794,15644.670965181549,125.07865911170278,0.02616434113133781
"(7, 1, 1)",94.17511615421996,15699.750803133938,125.29864645371848,0.025919357626454448
"(6, 1, 3)",94.45880775983827,15701.056362613655,125.30385613624848,0.025974854595134097
"(0, 1, 7)",94.62609188177323,15726.211828591828,125.40419382377858,0.026049667111744872
"(7, 1, 3)",94.41408527519546,15763.837739160026,125.55412274855823,0.025956863878583317
"(2, 1, 7)",95.08784368272676,15798.16744354799,125.69076117021486,0.026158206796624846
"(7, 1, 7)",92.91963670314875,15803.744713970449,125.7129456896562,0.025443574849053713
"(7, 1, 2)",95.44225296642831,15810.815264556692,125.74106435272724,0.02625672359427693
"(6, 1, 2)",95.18717560604884,15837.954916821163,125.84893689189894,0.026184770337608833
"(1, 1, 7)",94.93833952235941,15874.44682258267,125.99383644679874,0.026138291770625065
"(2, 1, 6)",95.38763840779556,15884.680839209193,126.0344430670013,0.026240535763559135
"(6, 1, 6)",94.18997793321529,15907.913681407363,126.12657801354702,0.02582762809112902
"(7, 1, 6)",95.00071208252285,16014.460871672376,126.5482551111329,0.026067859659632528
"(6, 1, 7)",96.52698478349448,16045.721737949849,126.6717085143713,0.0264870349407125
